family_ID	protein_ID	inhibited_defense_system(inferred from seed proteins in the family)	clan_ID	clan_inhibited_defense_system(inferred from families with seed proteins)
APIS002	MF327008_00242	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MG746602_00027	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MGV-GENOME-0373836_133	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MGV-GENOME-0375157_138	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MGV-GENOME-0375647_162	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MGV-GENOME-0375924_99	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MGV-GENOME-0377341_264	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MGV-GENOME-0377451_2	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MGV-GENOME-0377569_131	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MGV-GENOME-0377588_2	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MGV-GENOME-0377591_2	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MGV-GENOME-0377830_131	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MGV-GENOME-4435766_177	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MH791409_00209	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MH837626_00228	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MH992510_00116	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MK373781_00117	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MK962750_00112	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MN087708_00121	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MN716856_00199	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MN895434_00131	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MN895437_00192	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MN994497_00163	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MT129652_00098	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MT176424_00117	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MT682713_00117	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MT701588_00178	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MT764206_00231	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MT782071_00114	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MW175890_00207	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MW250787_00184	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MW286157_00221	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MW598459_00144	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MW679410_00115	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MZ170040_00079	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MZ417521_00112	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MZ501098_00225	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MZ571829_00076	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MZ726795_00117	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	NP_049728.1	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OK040907_00116	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OK331996_00186	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OL656107_00117	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OL770073_00139	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OL770107_00054	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OL960580_00116	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OL960581_00115	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OM339528_00153	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OM386655_00093	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OM386662_00051	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OM386666_00145	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	ON210139_00160	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	ON528735_00105	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	ON528740_00181	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	ON528741_00135	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	ON528742_00006	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	ON645936_00114	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	ON782582_00238	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OP137232_00257	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OP168898_00149	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OP172784_00212	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OP292222_00126	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OP555982_00116	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OP611477_00227	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OP870144_00113	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OP870145_00118	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OQ031492_00059	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OQ067373_00225	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OQ067375_00223	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OQ067376_00220	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OQ174502_00232	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OQ446694_00141	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OQ466432_00004	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OQ599309_00117	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OQ599310_00274	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OQ721911_00114	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OQ721912_00122	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	OV877511_00204	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	uvig_352869_22	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS003	AAB36891.1	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_2562617072_000005|2562617072|2562899800	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_2623620512_000003|2623620512|2624733345	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_2731957960_000003|2731957960|2733967746	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_2788500337_000002|2788500337|2790327173	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_2859739975_000004|2859739975|2859740057	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_2876622487_000001|2876622487|2876624296	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_2915870243_000004|2915870243|2915873311	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_2920462091_000003|2920462091|2920462666	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300000296_000061|3300000296|EM337_100123913	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300006213_002387|3300006213|Ga0081460_10003302	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300006919_000318|3300006919|Ga0070746_100003278	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300007222_000398|3300007222|Ga0104061_10015670	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300007566_000011|3300007566|Ga0104970_100006694	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300007801_000069|3300007801|Ga0105807_1010093	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300008091_000001|3300008091|Ga0105975_10004181	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300008096_000262|3300008096|Ga0114155_100280015	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300008282_000174|3300008282|Ga0114156_100073926	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300008513_000125|3300008513|Ga0111022_1018729	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300009856_000386|3300009856|Ga0131695_103635850	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300010163_003642|3300010163|Ga0136175_1000177947	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300010970_000144|3300010970|Ga0137575_10000003104	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300010998_001212|3300010998|Ga0139311_10009914	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300011006_000563|3300011006|Ga0139320_10005393	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300011977_000237|3300011977|Ga0120375_10013245	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300012005_000019|3300012005|Ga0120161_100025736	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300012994_000021|3300012994|Ga0157357_10013565	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300012999_000050|3300012999|Ga0157363_100773712	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300013105_000004|3300013105|Ga0157369_1000017449	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300014917_000052|3300014917|Ga0169823_1006542	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300019373_000145|3300019373|Ga0187895_100099910	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300019373_000278|3300019373|Ga0187895_100013932	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300020042_006319|3300020042|Ga0206640_100148613	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300020215_000076|3300020215|Ga0196963_1000032371	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300021254_001831|3300021254|Ga0223824_100057339	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300021319_000146|3300021319|Ga0214520_100036128	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300021387_005807|3300021387|Ga0223845_1187465459	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300021431_001478|3300021431|Ga0224423_100174312	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300021958_000417|3300021958|Ga0222718_1000105329	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300022555_002492|3300022555|Ga0212088_1000116275	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300022750_000015|3300022750|Ga0247812_1000021281	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300023038_000130|3300023038|Ga0233370_100001335	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300023545_000341|3300023545|Ga0257041_10038627	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300025135_000354|3300025135|Ga0209498_10036337	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300025168_002321|3300025168|Ga0209337_100328510	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300025646_000125|3300025646|Ga0208161_10001425	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300026549_002460|3300026549|Ga0256404_100000234	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300028048_003151|3300028048|Ga0256405_1000067521	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300028242_001185|3300028242|Ga0302102_100310943	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300028591_000408|3300028591|Ga0247611_100015735	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300028591_003344|3300028591|Ga0247611_1000400321	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300028886_003644|3300028886|Ga0256407_100003081	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300028886_003664|3300028886|Ga0256407_100004061	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300028914_003711|3300028914|Ga0265300_1000013343	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300028950_000009|3300028950|Ga0169692_102123	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300029052_000145|3300029052|Ga0169758_1043603	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300029088_000038|3300029088|Ga0169204_10002199	restriction-modification (RM)	CLAN003	restriction-modification (RM)
APIS003	IMGVR_UViG_3300029195_000076|3300029195|Ga0167502_10028331	restriction-modification (RM)	CLAN003	restriction-modification (RM)
