AD family	Representative protein	subjectid	Phage	Host	TaxID	Source	Pfam ID	Phrog ID
APIS022	NP_861724.1	AP018814_00036	Enterobacteria phage T6	Enterobacteria	543	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS012	NP_049652.1	AP018814_00038	Enterobacteria phage T6	Enterobacteria	543	INPHARED		phrog_8921,phrog_2375,phrog_3272,phrog_12748
APIS017	NP_049811.1	AP018814_00196	Enterobacteria phage T6	Enterobacteria	543	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS022	NP_861724.1	AP018932_00037	Escherichia phage KIT03	Escherichia	561	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS012	NP_049652.1	AP018932_00039	Escherichia phage KIT03	Escherichia	561	INPHARED		phrog_8921,phrog_2375,phrog_3272,phrog_12748
APIS017	NP_049811.1	AP018932_00200	Escherichia phage KIT03	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS013	NP_049653.1	AP019521_00035	Escherichia phage KIT01	Escherichia	561	INPHARED	PF17587.5	phrog_2102
APIS015	NP_049734.1	AP019521_00117	Escherichia phage KIT01	Escherichia	561	INPHARED		phrog_7857,phrog_2667
APIS017	NP_049811.1	AP019521_00206	Escherichia phage KIT01	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS005	APD21271.1	APD21271.1	phi3T of B. subtilis	Bacillus subtilis	1423	NCBI		phrog_20113
APIS006	AXC42625.1	AXC42625.1	Salmonella phage S149	Salmonella	590	NCBI	PF08281.15	phrog_323
APIS020	NP_059594.1	AY052766_00015	Salmonella phage ST64T	Salmonella	590	INPHARED	PF11043.11	phrog_656
APIS006	AXC42625.1	AY052766_00016	Salmonella phage ST64T	Salmonella	590	INPHARED	PF08281.15	
APIS010	NP_041954.1	AY264776_00001	Escherichia phage T7	Escherichia	561	INPHARED	PF08684.13	phrog_2568
APIS011	NP_041980.1	AY264776_00018	Escherichia phage T7	Escherichia	561	INPHARED	PF17574.5	phrog_2254
APIS010	NP_041954.1	AY264778_00001	Escherichia phage T7	Escherichia	561	INPHARED	PF08684.13	phrog_2568
APIS011	NP_041980.1	AY264778_00021	Escherichia phage T7	Escherichia	561	INPHARED	PF17574.5	phrog_2254
APIS022	NP_861724.1	AY303349_00031	Escherichia phage RB69	Escherichia	561	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS014	NP_049694.1	AY303349_00085	Escherichia phage RB69	Escherichia	561	INPHARED	PF10465.12	phrog_2167
APIS035	YP_009790938.1	AY543070_00080	Escherichia phage T5	Escherichia	561	INPHARED		phrog_3972,phrog_16544
APIS007	BAF33451.1	BAF33451.1	IncP-1b plasmid of Bordetella pertussis	Bordetella pertussis	520	NCBI	PF03230.16	phrog_10132
APIS009	NP_040622.1	CP000711_00047	Enterobacteria phage CUS-3	Enterobacteria	543	INPHARED	PF11058.11	phrog_1055,phrog_17610
APIS083	CP067347_00056	CP067347_00056	Clostridioides phage ES-S-0107-01	Clostridioides	1870884	INPHARED		phrog_20113
APIS004	ANA48877.1	DQ163914_00021	Pseudomonas phage 119X	Pseudomonas	286	INPHARED		phrog_29522,phrog_717
APIS055	OL763419_00042	DQ163916_00002	Pseudomonas phage M6	Pseudomonas	286	INPHARED	PF03230.16	phrog_10132
APIS022	NP_861724.1	DQ904452_00034	Escherichia phage RB32	Escherichia	561	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS012	NP_049652.1	DQ904452_00036	Escherichia phage RB32	Escherichia	561	INPHARED		phrog_8921,phrog_2375,phrog_3272,phrog_12748
APIS014	NP_049694.1	DQ904452_00075	Escherichia phage RB32	Escherichia	561	INPHARED	PF10465.12	phrog_2167,phrog_3272,phrog_9092
APIS002	NP_049728.1	DQ904452_00113	Escherichia phage RB32	Escherichia	561	INPHARED		phrog_717,phrog_26803
APIS017	NP_049811.1	DQ904452_00196	Escherichia phage RB32	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS018	NP_049868.1	DQ904452_00249	Escherichia phage RB32	Escherichia	561	INPHARED		phrog_3151
APIS004	ANA48877.1	EF057797_00030	Vibrio phage VP882	Vibrio	662	INPHARED		phrog_29522,phrog_717
APIS036	YP_009850475.1	EF460875_00004	Escherichia phage phiEcoM-GJ1	Escherichia	561	INPHARED		
APIS091	YP_009792928.1	EU547803_00001	Salmonella phage phiSG-JL2	Salmonella	590	INPHARED		phrog_2226
APIS078	KX078568_00026	EU652770_00024	Morganella phage MmP1	Morganella	581	INPHARED	PF17574.5	phrog_2254
APIS091	YP_009792928.1	EU734173_00002	Klebsiella phage K11	Klebsiella	570	INPHARED		phrog_2226
APIS077	KU946962_00005	EU734174_00002	Escherichia phage 13a	Escherichia	561	INPHARED	PF08684.13	phrog_2568
APIS011	NP_041980.1	EU734174_00021	Escherichia phage 13a	Escherichia	561	INPHARED	PF17574.5	phrog_2254
APIS013	NP_049653.1	EU863409_00037	Escherichia phage JS10	Escherichia	561	INPHARED	PF17587.5	phrog_2102
APIS017	NP_049811.1	EU863409_00208	Escherichia phage JS10	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS020	NP_059594.1	FJ000341_00023	Salmonella phage g341c	Salmonella	590	INPHARED	PF11043.11	phrog_656
APIS091	YP_009792928.1	FJ194439_00001	Kluyvera phage Kvp1	Kluyvera	579	INPHARED		phrog_2226
APIS014	NP_049694.1	FJ839692_00075	Escherichia phage RB14	Escherichia	561	INPHARED	PF10465.12	phrog_2167,phrog_9092
APIS017	NP_049811.1	FJ839693_00202	Enterobacteria phage RB51	Enterobacteria	543	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS030	YP_006479.1	FO818745_00008	Escherichia phage RCS47	Escherichia	561	INPHARED	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_11801,phrog_21007
APIS031	YP_006494.1	FO818745_00032	Escherichia phage RCS47	Escherichia	561	INPHARED	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS011	NP_041980.1	FR667955_00018	Salmonella phage Vi06	Salmonella	590	INPHARED	PF17574.5	phrog_2254
APIS023	NP_041987.1	FR667955_00024	Salmonella phage Vi06	Salmonella	590	INPHARED		phrog_9014
APIS008	Gad2	Gad2	SPbetaL7 of B. subtilis	Bacillus subtilis	1423	NCBI		phrog_18122,phrog_27100,phrog_4400,phrog_25514,phrog_37109,phrog_16176
APIS091	YP_009792928.1	GQ413937_00001	Klebsiella phage KP32	Klebsiella	570	INPHARED		phrog_2226
APIS010	NP_041954.1	GU071091_00001	Escherichia phage T7	Escherichia	561	INPHARED	PF08684.13	phrog_2568
APIS017	NP_049811.1	GU323318_00204	Enterobacter phage CC31	Enterobacter	547	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS077	KU946962_00005	GU595417_00004	Escherichia phage UAB_Phi78	Escherichia	561	INPHARED	PF08684.13	phrog_2568
APIS015	NP_049734.1	HE956709_00130	Yersinia phage phiR1-RT	Yersinia	629	INPHARED		phrog_7857
APIS022	NP_861724.1	HE956711_00037	Yersinia phage phiD1	Yersinia	629	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS013	NP_049653.1	HE956711_00040	Yersinia phage phiD1	Yersinia	629	INPHARED	PF17587.5	phrog_2102
APIS014	NP_049694.1	HE956711_00079	Yersinia phage phiD1	Yersinia	629	INPHARED	PF10465.12	phrog_2167,phrog_9092
APIS002	NP_049728.1	HE956711_00119	Yersinia phage phiD1	Yersinia	629	INPHARED		phrog_717,phrog_26803
APIS017	NP_049811.1	HE956711_00204	Yersinia phage phiD1	Yersinia	629	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS077	KU946962_00005	HG818823_00001	Citrobacter phage CR44b	Citrobacter	544	INPHARED	PF08684.13	phrog_2568
APIS091	YP_009792928.1	HG994092_00001	Klebsiella phage TUN1	Klebsiella	570	INPHARED		phrog_2226
APIS004	ANA48877.1	HM032710_00014	Acinetobacter phage Ac42	Acinetobacter	469	INPHARED		phrog_29522,phrog_717
APIS022	NP_861724.1	HM035025_00035	Shigella phage Shfl2	Shigella	620	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS016	NP_049750.1	HM035025_00145	Shigella phage Shfl2	Shigella	620	INPHARED		phrog_755
APIS017	NP_049811.1	HM035025_00198	Shigella phage Shfl2	Shigella	620	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS017	NP_049811.1	HM071924_00208	Escherichia phage IME08	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS044	HM144387_00160	HM144387_00160	Bacillus phage W.Ph.	Bacillus	1386	INPHARED	PF12706.10	phrog_392,phrog_14429
APIS013	NP_049653.1	HM563683_00041	Escherichia phage vB_EcoM_VR7	Escherichia	561	INPHARED	PF17587.5	phrog_2102
APIS035	YP_009790938.1	HQ406778_00080	Salmonella phage Spc35	Salmonella	590	INPHARED		phrog_3972,phrog_16544
APIS017	NP_049811.1	HQ829472_00209	Escherichia phage Bp7	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS017	NP_049811.1	HQ829472_00210	Escherichia phage Bp7	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS090	NP_049749.1	HQ829472_00267	Escherichia phage Bp7	Escherichia	561	INPHARED	PF11634.11	phrog_4363
APIS004	ANA48877.1	IMGVR_UViG_2032320007_000040|2032320007|ATEDB_6414140				IMGVR		phrog_29522
APIS006	AXC42625.1	IMGVR_UViG_2035265002_000002|2035265002|CwormDRAFT_176770		Enterobacter	547	IMGVR		
APIS006	AXC42625.1	IMGVR_UViG_2035918000_000008|2035918000|AECFG_543710		Klebsiella	570	IMGVR		
APIS083	CP067347_00056	IMGVR_UViG_2035918000_000024|2035918000|AECFG_236830		Enterobacteriaceae	543	IMGVR		phrog_20113
APIS047	IMGVR_UViG_3300009183_005911|3300009183|Ga0114974_10000105111	IMGVR_UViG_2162886012_000017|2162886012|MBSR1b_0969.00001160				IMGVR		phrog_3972
APIS019	NP_050611.1	IMGVR_UViG_2189573020_000011|2189573020|PaHGM_00488970				IMGVR		phrog_10252
APIS081	MGV-GENOME-0326027_55	IMGVR_UViG_2189573020_000016|2189573020|PaHGM_00670530				IMGVR	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS032	YP_007947949.1	IMGVR_UViG_2225789004_000101|2225789004|2228102866				IMGVR		phrog_1119
APIS006	AXC42625.1	IMGVR_UViG_2228664000_000047|2228664000|2228672091		Enterobacteriaceae	543	IMGVR		
APIS004	ANA48877.1	IMGVR_UViG_2502545037_000001|2502545037|2502674691		Halomonas venusta	44935	IMGVR		phrog_29522,phrog_717
APIS004	ANA48877.1	IMGVR_UViG_2504643027_000008|2504643027|2504733478		Acinetobacter baumannii	470	IMGVR		phrog_29522,phrog_717
APIS032	YP_007947949.1	IMGVR_UViG_2507262057_000001|2507262057|2507517157		Pseudocitrobacter sp000330845		IMGVR		phrog_1119
APIS004	ANA48877.1	IMGVR_UViG_2508501040_000002|2508501040|2508685179		Paraburkholderia sp000178415		IMGVR		phrog_29522,phrog_717
APIS030	YP_006479.1	IMGVR_UViG_2511231131_000001|2511231131|2511738385		Escherichia coli	562	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS039	IMGVR_UViG_2751185776_000007|2751185776|2753238834	IMGVR_UViG_2511231170_000001|2511231170|2511870096		Escherichia coli	562	IMGVR	PF03230.16	phrog_10132
APIS007	BAF33451.1	IMGVR_UViG_2513237082_000001|2513237082|2513553087		Paraburkholderia mimosarum	312026	IMGVR	PF03230.16	phrog_10132
APIS007	BAF33451.1	IMGVR_UViG_2513237166_000002|2513237166|2514050308		Paraburkholderia azotifigens	2057004	IMGVR	PF03230.16	phrog_10132
APIS092	NP_040618.1	IMGVR_UViG_2513237251_000004|2513237251|2514249572		Escherichia coli	562	IMGVR	PF06064.14	phrog_259,phrog_26899
APIS040	IMGVR_UViG_2778261704_000001|2778261704|2781089226	IMGVR_UViG_2513237251_000011|2513237251|2514251218		Escherichia coli	562	IMGVR	PF14354.9	phrog_6422,phrog_599
APIS083	CP067347_00056	IMGVR_UViG_2518285522_000006|2518285522|2518345193		Photorhabdus khanii	1004150	IMGVR		phrog_20113
APIS027	WP_004399562.1	IMGVR_UViG_2518645535_000002|2518645535|2518770019		Bacillus subtilis	1423	IMGVR		phrog_37006
APIS029	YP_002300464.1	IMGVR_UViG_2518645577_000004|2518645577|2518895477		Bacillus thuringiensis	1428	IMGVR	PF11195.11	phrog_2709,phrog_30130,phrog_872,phrog_1048
APIS040	IMGVR_UViG_2778261704_000001|2778261704|2781089226	IMGVR_UViG_2519899560_000002|2519899560|2520119982		Escherichia coli	562	IMGVR	PF14354.9	phrog_6422,phrog_599
APIS033	YP_009168126.1	IMGVR_UViG_2519899562_000006|2519899562|2520131485		Escherichia coli	562	IMGVR	PF14354.9	phrog_6422,phrog_599
APIS031	YP_006494.1	IMGVR_UViG_2519899562_000013|2519899562|2520131954		Escherichia coli	562	IMGVR	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS029	YP_002300464.1	IMGVR_UViG_2522572172_000001|2522572172|2523154202		Bacillus thuringiensis	1428	IMGVR	PF11195.11	phrog_2709,phrog_30130,phrog_872,phrog_1048
APIS043	MH238467_00052	IMGVR_UViG_2524614508_000001|2524614508|2524651601		Halomonas jeotgali	553386	IMGVR	PF13876.9,PF11195.11	phrog_37939,phrog_3934,phrog_30130,phrog_872,phrog_322,phrog_4435,phrog_9467,phrog_1048,phrog_16684
APIS004	ANA48877.1	IMGVR_UViG_2524614738_000005|2524614738|2525595533		Pseudomonas aeruginosa	287	IMGVR		phrog_29522,phrog_717
APIS088	uvig_218805_40	IMGVR_UViG_2526164529_000013|2526164529|2526270821		Lacrimispora indolis	69825	IMGVR		phrog_20113
APIS004	ANA48877.1	IMGVR_UViG_2526164572_000005|2526164572|2526434306		Pseudomonas_E khazarica		IMGVR		phrog_29522,phrog_717
APIS031	YP_006494.1	IMGVR_UViG_2526164633_000032|2526164633|2526715758		Escherichia coli	562	IMGVR	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS030	YP_006479.1	IMGVR_UViG_2526164633_000032|2526164633|2526715784		Escherichia coli	562	IMGVR	PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS019	NP_050611.1	IMGVR_UViG_2526164649_000022|2526164649|2526775352		Escherichia coli	562	IMGVR		phrog_10252
APIS030	YP_006479.1	IMGVR_UViG_2526164662_000021|2526164662|2526843871		Escherichia coli	562	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	IMGVR_UViG_2526164662_000021|2526164662|2526843881		Escherichia coli	562	IMGVR	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS020	NP_059594.1	IMGVR_UViG_2526164688_000036|2526164688|2526973919		Escherichia coli	562	IMGVR	PF11043.11	phrog_656
APIS079	MF042361_00008	IMGVR_UViG_2529292723_000020|2529292723|2529718555		Escherichia coli	562	IMGVR	PF11195.11	phrog_2709,phrog_30130,phrog_872,phrog_32732,phrog_9467,phrog_1048
APIS020	NP_059594.1	IMGVR_UViG_2529292729_000007|2529292729|2529749295		Escherichia coli	562	IMGVR	PF11043.11	phrog_656
APIS039	IMGVR_UViG_2751185776_000007|2751185776|2753238834	IMGVR_UViG_2529292882_000013|2529292882|2530356395		Escherichia coli	562	IMGVR	PF03230.16	phrog_10132
APIS033	YP_009168126.1	IMGVR_UViG_2529292885_000005|2529292885|2530372492		Escherichia coli	562	IMGVR	PF14354.9	phrog_6422,phrog_599
APIS040	IMGVR_UViG_2778261704_000001|2778261704|2781089226	IMGVR_UViG_2529292905_000008|2529292905|2530448621		Escherichia coli	562	IMGVR	PF14354.9	phrog_6422,phrog_599
APIS031	YP_006494.1	IMGVR_UViG_2529292906_000012|2529292906|2530459871		Escherichia coli	562	IMGVR	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS030	YP_006479.1	IMGVR_UViG_2529292906_000012|2529292906|2530459881		Escherichia coli	562	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	IMGVR_UViG_2529292911_000006|2529292911|2530486565		Escherichia coli	562	IMGVR	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS030	YP_006479.1	IMGVR_UViG_2529292911_000006|2529292911|2530486576		Escherichia coli	562	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS020	NP_059594.1	IMGVR_UViG_2529292934_000004|2529292934|2530582789		Salmonella enterica	28901	IMGVR	PF11043.11	phrog_656
APIS030	YP_006479.1	IMGVR_UViG_2529292938_000002|2529292938|2530600750		Salmonella enterica	28901	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS020	NP_059594.1	IMGVR_UViG_2529292964_000003|2529292964|2530674819		Salmonella enterica	28901	IMGVR	PF11043.11	phrog_656
APIS030	YP_006479.1	IMGVR_UViG_2529293015_000002|2529293015|2530887043		Escherichia coli	562	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS030	YP_006479.1	IMGVR_UViG_2529293038_000017|2529293038|2530952873		Escherichia coli	562	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	IMGVR_UViG_2529293038_000017|2529293038|2530952884		Escherichia coli	562	IMGVR	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS039	IMGVR_UViG_2751185776_000007|2751185776|2753238834	IMGVR_UViG_2529293076_000023|2529293076|2531131775		Escherichia coli	562	IMGVR	PF03230.16	phrog_10132
APIS079	MF042361_00008	IMGVR_UViG_2529293139_000011|2529293139|2531345721		Escherichia coli	562	IMGVR	PF11195.11	phrog_2709,phrog_30130,phrog_872,phrog_32732,phrog_9467,phrog_1048
APIS030	YP_006479.1	IMGVR_UViG_2529293172_000019|2529293172|2531471145		Escherichia coli	562	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS033	YP_009168126.1	IMGVR_UViG_2529293213_000020|2529293213|2531600772		Escherichia coli	562	IMGVR	PF14354.9	phrog_6422,phrog_599
APIS019	NP_050611.1	IMGVR_UViG_2529293223_000009|2529293223|2531651605		Escherichia coli	562	IMGVR		phrog_10252
APIS019	NP_050611.1	IMGVR_UViG_2529293223_000018|2529293223|2531654559		Escherichia coli	562	IMGVR		phrog_10252
APIS019	NP_050611.1	IMGVR_UViG_2529293265_000019|2529293265|2531791364		Escherichia coli	562	IMGVR		phrog_10252
APIS019	NP_050611.1	IMGVR_UViG_2531839127_000011|2531839127|2532320586		Escherichia coli	562	IMGVR		phrog_10252
APIS019	NP_050611.1	IMGVR_UViG_2531839129_000022|2531839129|2532335534		Escherichia coli	562	IMGVR		phrog_10252
APIS030	YP_006479.1	IMGVR_UViG_2531839130_000008|2531839130|2532337636		Escherichia coli	562	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS019	NP_050611.1	IMGVR_UViG_2531839131_000022|2531839131|2532346891		Escherichia coli	562	IMGVR		phrog_10252
APIS030	YP_006479.1	IMGVR_UViG_2531839149_000008|2531839149|2532420235		Escherichia coli	562	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS020	NP_059594.1	IMGVR_UViG_2531839281_000006|2531839281|2532920724		Salmonella enterica	28901	IMGVR	PF11043.11	phrog_656
APIS006	AXC42625.1	IMGVR_UViG_2531839281_000006|2531839281|2532920725		Salmonella enterica	28901	IMGVR	PF08281.15	phrog_31591
APIS031	YP_006494.1	IMGVR_UViG_2531839377_000006|2531839377|2533300584		Salmonella enterica	28901	IMGVR	PF18788.4,PF05887.14,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS030	YP_006479.1	IMGVR_UViG_2531839377_000006|2531839377|2533300595		Salmonella enterica	28901	IMGVR	PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_11801,phrog_21007
APIS031	YP_006494.1	IMGVR_UViG_2531839450_000010|2531839450|2533570214		Escherichia coli	562	IMGVR	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS030	YP_006479.1	IMGVR_UViG_2531839476_000011|2531839476|2533675620		Escherichia coli	562	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	IMGVR_UViG_2531839476_000011|2531839476|2533675631		Escherichia coli	562	IMGVR	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS031	YP_006494.1	IMGVR_UViG_2531839588_000012|2531839588|2534113817		Escherichia coli	562	IMGVR	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS030	YP_006479.1	IMGVR_UViG_2531839588_000012|2531839588|2534113828		Escherichia coli	562	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS030	YP_006479.1	IMGVR_UViG_2534681604_000014|2534681604|2534705174		Escherichia fergusonii	564	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	IMGVR_UViG_2534681604_000014|2534681604|2534705184		Escherichia fergusonii	564	IMGVR	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS019	NP_050611.1	IMGVR_UViG_2534681626_000015|2534681626|2534783811		Escherichia coli	562	IMGVR		phrog_10252
APIS020	NP_059594.1	IMGVR_UViG_2534681712_000004|2534681712|2535163245		Salmonella enterica	28901	IMGVR	PF11043.11	phrog_656
APIS006	AXC42625.1	IMGVR_UViG_2534681712_000004|2534681712|2535163246		Salmonella enterica	28901	IMGVR	PF08281.15	phrog_31591
APIS029	YP_002300464.1	IMGVR_UViG_2534681759_000012|2534681759|2535353625		Escherichia coli	562	IMGVR	PF11195.11	phrog_2709,phrog_30130,phrog_872,phrog_1048
APIS030	YP_006479.1	IMGVR_UViG_2534681761_000007|2534681761|2535363288		Escherichia coli	562	IMGVR	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	IMGVR_UViG_2534681761_000007|2534681761|2535363299		Escherichia coli	562	IMGVR	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
